
"KEY","EN","","CN","ZH","JP","KR","TH","IN"
"","","","","","","","",""
"Main Wallet","","","","","","","",""
"bnt_balance","Balance","","余额","餘額","剰余","밸런스","สมดุล","संतुलन"
"bnt_lv_share","Level of Referral Bonus","","推荐奖金级别","推薦獎金級別","紹介ボーナスのレベル","추천 보너스 수준","ระดับของโบนัสการแนะนำ","रेफरल बोनस का स्तर"
"bnt_node_num","Node Count","","节点数","節點數","ノード数","노드 카운트","จำนวนโหนด","नोड गणना"
"bnt_lv_node","Node Level","","节点级别","節點級別","ノードレベル","노드 레벨","ระดับโหนด","नोड स्तर"
"bnt_invcode","Referral Code","","推荐码","推薦碼","紹介コード","추천 코드","รหัสอ้างอิง","रेफरल कोड"
"bnt_all_income","All Income","","所有收入","所有收入","すべての収入","모든 소득","รายได้ทั้งหมด","सभी आय"
"bnt_all_wage","All Wagers","","所有赌注","所有賭注","すべての賭け","모든 베팅","เดิมพันทั้งหมด","सभी दांव"
"bnt_main","Home","","主页","主頁","家","집","บ้าน","घर"
"bnt_ninvest","New Invest","","新投资","新投資","新投資","새로운 투자","การลงทุนใหม่","नए निवेश"
"bnt_oinvest","Catch Up","","赶上投资","趕上投資","追いつく","잡아라","ตามทัน","पकड़ो"
"bnt_trxn","Transaction Status","","交易状态","交易狀態","トランザクションのステータス","거래 상태","สถานะการทำธุรกรรม","लेन-देन स्थिति"
"bnt_bicode","Invite Code","","邀请码","邀請碼","招待コード","코드를 초대","เชิญรหัส","निमंत्रण कोड"
"bnt_bet","add fund","","增加资金","增加資金","追加資金","추가 기금","กองทุนเพิ่ม","ऐड निधि"
"bnt_prin","Principal amount","","本金","本金","元本","원금","เงินต้น","मुख्य राशि"
"Notification Pag","","","","","","","",""
"n_zero_a","Zero amount available","","零额可用","零額可用","可能なゼロ量","가능한 제로 금액","ศูนย์จำนวนเงินที่มีอยู่","शून्य राशि उपलब्ध"
"n_address_empty","Address cannot be empty","","地址不能为空","地址不能為空","アドレスは空にすることはできません","주소는 비워 둘 수 없습니다","ที่อยู่ต้องไม่ว่างเปล่า","पता खाली नहीं हो सकता"
"n_upline","Your up line code is invalid","","您的上线代码无效","您的上線代碼無效","あなたのアップラインコードは無効です。","귀하의 최대 라인 코드가 잘못되었습니다","รหัสเส้นขึ้นของคุณไม่ถูกต้อง","आपका अप लाइन कोड अमान्य है"
"n_inv","Invite code is invalid","","邀请码无效","邀請碼無效","コードは無効です招待","코드가 유효하지 않은 초대","เชิญรหัสไม่ถูกต้อง","आमंत्रित कोड अमान्य है"
"n_free","Invalid free amount","","无效的空闲金额","無效的空閒金額","無効な空き容量","잘못된 무료 양","จำนวนเงินฟรีไม่ถูกต้อง","अमान्य मुक्त राशि"
"n_lock","Invalid lock amount","","无效的锁数量","無效的鎖數量","無効なロック量","잘못된 잠금 금액","จำนวนล็อคไม่ถูกต้อง","अमान्य ताला राशि"
"n_copy","Copy success","","复制成功","複製成功","成功のコピー","복사 성공","ความสำเร็จของการคัดลอก","कॉपी सफलता"
"n_hashcfm","Hash confirmed","","哈希确认","哈希確認","ハッシュ確認","해시 확인","กัญชาได้รับการยืนยัน","हैश की पुष्टि की"
"n_deny","Denied.","","被拒绝","被拒絕","拒否されました。","거부.","ปฏิเสธ","से इनकार किया।"
"Pop Up Page","","","","","","","",""
"p_total_income","Total Income","","总收入","總收入","総収入","총 수입","รายได้ทั้งหมด","कुल आय"
"p_cap","Capital","","资本","資本","資本","자본","เมืองหลวง","राजधानी"
"p_hack","Hack Power","","骇客力量","駭客力量","ハックパワー","해킹 전원","สับพลังงาน","हैक पावर"
"p_enqueue","Enqueued Amount","","排队金额","排隊金額","エンキュー額","대기 행렬 금액","Enqueued จำนวน","कतारबद्ध राशि"
"p_shared","Shared Amount","","分红总额","分紅總額","共有金額","공유 금액","ที่ใช้ร่วมกันจำนวน","साझा की गई राशि"
"p_reward","Reward Bonus Amount","","奖励总额","獎勵總額","報酬ボーナスの額","보상 보너스 금액","รางวัลที่ได้รับเงินโบนัส","इनाम बोनस राशि"
"p_grant","Grant Release on Pending","","等待发放","等待發放","保留中のグラントリリース","보류에 부여 출시","แกรนท์ที่วางจำหน่ายในวันที่รอดำเนินการ","विचाराधीन पर अनुदान रिलीज"
"p_close","Close","","关","關","閉じる","닫기","ปิด","बंद करे"
"p_settle_withdraw","Withdraw","","提款","提款","取り下げます","빼다","ถอน","निकालना"
"Title Pa","","","","","","","",""
"site_name_ec","ETHCAPITAL","","ETH资本","ETH資本","ETH資本","ETHCAPITAL","ETHCAPITAL","ETHCAPITAL"
"site_name_ms","Masonic World","","共济会世界","共濟會世界","フリーメーソンの世界","프리메이슨의 세계","อิฐโลก","मेसोनिक दुनिया"
